Mean,Max,Min,Std,Range,Season,Sunday,Am,Lunch,Pm
1022616.6303523115,1113917.5843316389,931315.6763729841,91300.9539793274,182601.9079586548,1,0,1,0,0
1047740.8772797312,1099769.6575271885,995712.097032274,52028.78024745727,104057.56049491453,1,0,1,0,0
990932.9370601403,1066524.5608861253,915341.3132341553,75591.623825985,151183.24765197,1,0,1,0,0
191529.00891358923,236848.28149513472,146209.7363320437,45319.272581545505,90638.54516309101,1,0,1,0,0
344495.3227266339,406688.07248148194,282302.5729717859,62192.74975484802,124385.49950969603,1,0,1,0,0
270533.9085408871,336358.2039224109,204709.61315936336,65824.29538152377,131648.59076304754,1,0,0,1,0
174915.5619994764,211836.2087963143,137994.91520263848,36920.646796837915,73841.29359367583,1,0,0,1,0
218274.03968400115,266345.0844776676,170202.99489033472,48071.04479366643,96142.08958733286,1,0,0,1,0
220534.20953152134,375962.1410169442,65106.27804609848,155427.93148542286,310855.8629708457,1,0,0,1,0
279705.5773901617,282926.0094010606,276485.14537926286,3220.4320108988613,6440.864021797723,1,0,0,1,0
272130.58684020396,307720.3677727711,236540.80590763676,35589.78093256717,71179.56186513434,1,0,0,1,0
1025960.4645202463,1194572.1273307987,857348.8017096939,168611.6628105524,337223.3256211048,1,0,0,0,1
1111894.2398739767,1189909.2585811557,1033879.2211667976,78015.01870717906,156030.0374143581,1,0,0,0,1
1104728.003204967,1144264.8633032322,1065191.1431067016,39536.860098265344,79073.72019653069,1,0,0,0,1
1098040.1943741476,1132784.573407893,1063295.815340402,34744.3790337455,69488.758067491,1,0,0,0,1
1054593.4900111742,1070178.6035968293,1039008.3764255194,15585.113585654995,31170.22717130999,1,0,0,0,1
1079019.3288024277,1086774.4802372546,1071264.1773676006,7755.151434827014,15510.302869654028,1,0,1,0,0
939763.2746164291,977733.8831814759,901792.6660513823,37970.6085650468,75941.2171300936,1,0,1,0,0
902084.3469740986,1006336.4170910697,797832.2768571274,104252.07011697115,208504.1402339423,1,0,1,0,0
400756.9203930439,486754.56588507793,314759.2749010098,85997.64549203406,171995.29098406812,1,0,1,0,0
232849.3840082995,347319.51269960316,118379.25531699581,114470.12869130367,228940.25738260735,1,0,1,0,0
188323.4652813513,209778.44078980386,166868.48977289876,21454.975508452553,42909.95101690511,1,0,0,1,0
357328.6202843508,365624.28174012527,349032.9588285763,8295.661455774476,16591.322911548952,1,0,0,1,0
273404.38518258685,316593.14701022615,230215.62335494751,43188.76182763932,86377.52365527864,1,0,0,1,0
241717.16167640517,242140.4925837093,241293.830769101,423.3309073041455,846.661814608291,1,0,0,1,0
160289.32507852933,161234.0569351514,159344.59322190727,944.7318566220638,1889.4637132441276,1,0,0,1,0
274683.1773856712,290284.75442078145,259081.60035056085,15601.577035110298,31203.154070220597,1,0,0,1,0
999181.8188249666,1061834.6794090583,936528.9582408748,62652.860584091744,125305.72116818349,1,0,0,0,1
1010097.0931779102,1060968.6995174966,959225.4868383238,50871.60633958643,101743.21267917287,1,0,0,0,1
929379.8892905191,954291.433590463,904468.3449905751,24911.544299943955,49823.08859988791,1,0,0,0,1
1031955.9174692538,1110499.1441262974,953412.6908122101,78543.22665704368,157086.45331408735,1,0,0,0,1
987030.2053467857,1061825.2896104613,912235.1210831101,74795.08426367561,149590.16852735123,1,0,0,0,1
959952.1611456159,1027498.2837567317,892406.0385345002,67546.12261111574,135092.2452222315,1,0,1,0,0
1109368.088306906,1134587.4581617792,1084148.7184520327,25219.36985487328,50438.73970974656,1,0,1,0,0
1057385.9102742109,1153684.2423243397,961087.5782240818,96298.33205012896,192596.6641002579,1,0,1,0,0
155372.6434032722,272126.41220412566,38618.87460241871,116753.76880085348,233507.53760170695,1,0,1,0,0
345183.1083677113,381070.8774504203,309295.3392850023,35887.76908270898,71775.53816541797,1,0,1,0,0
306110.44111598533,356530.76073013543,255690.1215018352,50420.31961415011,100840.63922830022,1,0,0,1,0
209088.69665998284,405659.1901174782,12518.203202487493,196570.49345749535,393140.9869149907,1,0,0,1,0
232956.06193520312,376545.9817287952,89366.14214161102,143589.9197935921,287179.8395871842,1,0,0,1,0
286445.3096081273,365133.74676420644,207756.87245204812,78688.43715607916,157376.87431215832,1,0,0,1,0
283562.178631457,362653.87133037177,204470.48593254216,79091.6926989148,158183.3853978296,1,0,0,1,0
305018.9749456588,378530.4164213763,231507.5334699413,73511.4414757175,147022.882951435,1,0,0,1,0
996171.5440179874,1120573.4919383128,871769.5960976621,124401.94792032533,248803.89584065066,1,0,0,0,1
1065086.199023731,1161821.601408817,968350.796638645,96735.40238508605,193470.8047701721,1,0,0,0,1
1024681.8941730033,1164830.8919935336,884532.896352473,140148.99782053032,280297.99564106064,1,0,0,0,1
971643.3018542189,974276.3569156182,969010.2467928197,2633.055061399238,5266.110122798476,1,0,0,0,1
1145158.8558730558,1218906.3764641124,1071411.3352819993,73747.52059105656,147495.0411821131,1,0,0,0,1
1114992.9494853783,1263862.7743534702,966123.1246172867,148869.82486809173,297739.64973618346,1,0,1,0,0
1018384.142912843,1086647.2855790257,950121.0002466603,68263.14266618271,136526.28533236543,1,0,1,0,0
986740.3366337349,1033518.6204394646,939962.052828005,46778.28380572976,93556.56761145953,1,0,1,0,0
368666.53072356485,503896.9202895666,233436.14115756308,135230.38956600177,270460.77913200355,1,0,1,0,0
205232.7695686688,252573.8798751881,157891.65926214948,47341.11030651932,94682.22061303863,1,0,1,0,0
163082.15300388512,204284.28305530164,121880.02295246857,41202.130051416534,82404.26010283307,1,0,0,1,0
195584.532816267,294994.48329215427,96174.58234037974,99409.95047588726,198819.90095177453,1,0,0,1,0
193762.89893689417,280658.6619244941,106867.13594929426,86895.76298759991,173791.52597519982,1,0,0,1,0
332726.3350358198,333187.5136870625,332265.1563845771,461.17865124269156,922.3573024853831,1,0,0,1,0
343544.12146164477,359366.9994945876,327721.243428702,15822.878032942797,31645.756065885595,1,0,0,1,0
248322.06400812324,386651.2753302602,109992.85268598629,138329.21132213695,276658.42264427396,1,0,0,1,0
1070168.0448832002,1119588.2415942464,1020747.8481721539,49420.196711046214,98840.39342209243,1,0,0,0,1
986973.1800073367,1020919.0501458012,953027.309868872,33945.870138464554,67891.74027692911,1,0,0,0,1
1053419.5952811332,1059552.5102154377,1047286.6803468285,6132.914934304601,12265.829868609202,1,0,0,0,1
1091582.5372029152,1108474.967656796,1074690.106749034,16892.43045388104,33784.86090776208,1,0,0,0,1
1026135.2937945582,1059024.0940472537,993246.4935418625,32888.800252695626,65777.60050539125,1,0,0,0,1
1089546.3411775164,1187581.4604286165,991511.2219264163,98035.11925110011,196070.23850220023,1,0,1,0,0
1091670.0472259861,1149817.8313450767,1033522.2631068956,58147.78411909053,116295.56823818106,1,0,1,0,0
1135831.7111200057,1203497.3001377103,1068166.122102301,67665.5890177046,135331.1780354092,1,0,1,0,0
235863.0152714564,360440.1778890772,111285.85265383554,124577.16261762085,249154.32523524167,1,0,1,0,0
230505.66202497797,319052.5115394391,141958.81251051684,88546.84951446112,177093.69902892224,1,0,1,0,0
353995.7551328769,470577.9915072834,237413.51875847045,116582.23637440648,233164.47274881296,1,0,0,1,0
228253.59126311546,293994.83112776326,162512.35139846767,65741.2398646478,131482.4797292956,1,0,0,1,0
201789.71663591266,280476.19389674393,123103.23937508138,78686.47726083128,157372.95452166256,1,0,0,1,0
218083.35950314708,336166.71900629415,100000.0,118083.35950314708,236166.71900629415,1,0,0,1,0
292348.597554107,319258.5712738692,265438.62383434485,26909.973719762173,53819.947439524345,1,0,0,1,0
144072.62612739054,258791.6938588121,29353.558395968983,114719.06773142156,229438.1354628431,1,0,0,1,0
974544.2516340287,1032919.6619815045,916168.8412865528,58375.410347475845,116750.82069495169,1,0,0,0,1
1037488.4079307029,1043318.3146242672,1031658.5012371385,5829.90669356432,11659.81338712864,1,0,0,0,1
1013109.8328879797,1049646.5070815042,976573.1586944552,36536.67419352452,73073.34838704905,1,0,0,0,1
983415.2840672377,1104449.746209026,862380.8219254493,121034.46214178839,242068.92428357678,1,0,0,0,1
985432.1655436372,1012496.1706775374,958368.1604097369,27064.005133900268,54128.010267800535,1,0,0,0,1
969458.8731815281,1023115.9723373142,915801.774025742,53657.0991557861,107314.1983115722,1,0,1,0,0
1059945.6618308723,1077884.2832231019,1042007.0404386427,17938.621392229572,35877.242784459144,1,0,1,0,0
962614.5196233207,1025916.6673045872,899312.3719420541,63302.147681266535,126604.29536253307,1,0,1,0,0
260785.01535506686,302530.55717384414,219039.47353628962,41745.54181877726,83491.08363755452,1,0,1,0,0
276424.3168896162,281599.0861694459,271249.5476097865,5174.769279829692,10349.538559659384,1,0,1,0,0
349354.04343222926,387542.3140781523,311165.7727863062,38188.27064592304,76376.54129184608,1,0,0,1,0
161291.8245672182,207073.05984518485,115510.58928925151,45781.23527796667,91562.47055593334,1,0,0,1,0
254870.15820801334,273044.2005870071,236696.11582901955,18174.042378993778,36348.084757987555,1,0,0,1,0
200019.17086945561,292353.4316458039,107684.91009310732,92334.2607763483,184668.5215526966,1,0,0,1,0
239843.40510790137,284827.88379260054,194858.9264232022,44984.47868469916,89968.95736939833,1,0,0,1,0
129115.48231683864,134085.18556817534,124145.77906550192,4969.7032513367085,9939.406502673417,1,0,0,1,0
1072403.3379773882,1135953.2037371283,1008853.472217648,63549.86575974012,127099.73151948024,1,0,0,0,1
1021844.7292719245,1028908.0541270663,1014781.4044167827,7063.324855141807,14126.649710283615,1,0,0,0,1
1134770.9953490081,1250888.8343443475,1018653.1563536687,116117.8389953394,232235.6779906788,1,0,0,0,1
1116068.5487638249,1274608.2454216862,957528.8521059635,158539.69665786135,317079.3933157227,1,0,0,0,1
1039353.6448880768,1043153.6415943208,1035553.6481818329,3799.9967062439537,7599.993412487907,1,0,0,0,1
1076674.3893976244,1132595.258894619,1020753.5199006299,55920.869496994594,111841.73899398919,1,1,1,0,0
1094538.8512442566,1136611.1170108905,1052466.5854776227,42072.26576663391,84144.53153326781,1,1,1,0,0
964422.1047931709,1018782.158103626,910062.051482716,54360.053310455,108720.10662091,1,1,1,0,0
716141.3954364781,760021.0176204368,672261.7732525193,43879.62218395877,87759.24436791753,1,1,1,0,0
723420.1536459322,747602.8154014384,699237.4918904261,24182.661755506124,48365.32351101225,1,1,1,0,0
836530.9543555903,1022248.5977328712,650813.3109783093,185717.64337728097,371435.28675456194,1,1,0,1,0
697498.6447811638,700659.6040430374,694337.6855192902,3160.9592618736206,6321.918523747241,1,1,0,1,0
637738.2816592099,668324.6851990095,607151.8781194104,30586.40353979956,61172.80707959912,1,1,0,1,0
689604.754227434,696833.184896073,682376.3235587953,7228.4306686388445,14456.861337277689,1,1,0,1,0
773765.1110365617,804402.0306429829,743128.1914301403,30636.919606421317,61273.839212842635,1,1,0,1,0
697323.6338143771,849553.5459085776,545093.7217201766,152229.9120942005,304459.824188401,1,1,0,1,0
1027427.0630096609,1131899.9126499644,922954.2133693573,104472.84964030358,208945.69928060716,1,1,0,0,1
1057643.860729772,1160678.83227335,954608.8891861937,103034.9715435782,206069.9430871564,1,1,0,0,1
1035400.3687631481,1038741.3735235374,1032059.3640027586,3341.004760389391,6682.009520778782,1,1,0,0,1
1169362.5299064952,1314277.138865801,1024447.9209471894,144914.6089593058,289829.2179186116,1,1,0,0,1
1052678.5395137188,1106946.5557958556,998410.5232315819,54268.01628213684,108536.03256427369,1,1,0,0,1
1120986.1177867535,1168724.3815576744,1073247.8540158325,47738.26377092092,95476.52754184185,1,0,1,0,0
1055882.905527243,1077685.1164576162,1034080.6945968698,21802.21093037323,43604.42186074646,1,0,1,0,0
1005522.8282907129,1071270.8189478803,939774.8376335455,65747.9906571674,131495.9813143348,1,0,1,0,0
199913.89382218028,266153.1207119018,133674.66693245876,66239.22688972153,132478.45377944305,1,0,1,0,0
247964.16081241707,275267.1670449998,220661.15457983437,27303.006232582702,54606.012465165404,1,0,1,0,0
218516.14465922973,273210.186436902,163822.1028815575,54694.04177767223,109388.08355534446,1,0,0,1,0
151860.44548224992,271956.6170787199,31764.273885779956,120096.17159646997,240192.34319293994,1,0,0,1,0
191796.11501173396,262257.6942146603,121334.5358088076,70461.57920292635,140923.15840585274,1,0,0,1,0
275554.940851888,279904.39665073255,271205.4850530434,4349.455798844574,8698.911597689148,1,0,0,1,0
252487.28107479657,283270.3985780546,221704.1635715385,30783.117503258065,61566.23500651613,1,0,0,1,0
368130.86775486765,446746.7824754078,289514.95303432754,78615.91472054014,157231.82944108028,1,0,0,1,0
949509.8611769164,1003141.4528030942,895878.2695507387,53631.59162617772,107263.18325235543,1,0,0,0,1
986747.9036310323,1031001.9373688013,942493.8698932633,44254.033737769,88508.067475538,1,0,0,0,1
1118868.635391656,1280381.1317019998,957356.1390813123,161512.49631034373,323024.99262068747,1,0,0,0,1
1087432.3769431524,1114251.6734947537,1060613.0803915511,26819.296551601263,53638.593103202526,1,0,0,0,1
965094.898553411,972456.4936606855,957733.3034461364,7361.595107274537,14723.190214549075,1,0,0,0,1
1081153.7464941042,1140600.0203917362,1021707.4725964719,59446.27389763214,118892.54779526428,1,0,1,0,0
1059729.4416571448,1223632.3298545044,895826.5534597853,163902.88819735957,327805.77639471914,1,0,1,0,0
1020960.9154033472,1079704.4342220372,962217.3965846571,58743.518818690034,117487.03763738007,1,0,1,0,0
183307.94646247625,259704.87158309077,106911.02134186172,76396.92512061453,152793.85024122905,1,0,1,0,0
207647.91534820868,320526.724373363,94769.10632305432,112878.80902515435,225757.6180503087,1,0,1,0,0
92992.55487254595,178267.51060272823,7717.599142363673,85274.95573018228,170549.91146036456,1,0,0,1,0
249528.04283691544,278577.6194254236,220478.46624840726,29049.57658850818,58099.15317701636,1,0,0,1,0
229760.45695687959,254732.33143025928,204788.58248349986,24971.874473379707,49943.74894675941,1,0,0,1,0
236166.70111624393,260975.84391367342,211357.55831881444,24809.142797429493,49618.285594858986,1,0,0,1,0
182439.24917730442,202777.54419662216,162100.95415798668,20338.29501931774,40676.59003863548,1,0,0,1,0
302930.2307946863,318276.0463536249,287584.4152357477,15345.8155589386,30691.6311178772,1,0,0,1,0
1046740.6832880434,1064534.1002143563,1028947.2663617305,17793.4169263129,35586.8338526258,1,0,0,0,1
968175.7489297306,991028.5915918807,945322.9062675807,22852.842662149982,45705.685324299964,1,0,0,0,1
968079.4305958473,994060.6655922069,942098.1955994877,25981.234996359563,51962.469992719125,1,0,0,0,1
1009717.3959590329,1099493.1127505344,919941.6791675314,89775.7167915015,179551.433583003,1,0,0,0,1
1010951.2341612759,1131694.154875842,890208.3134467099,120742.92071456602,241485.84142913204,1,0,0,0,1
953709.5082161406,1008500.1039137974,898918.9125184837,54790.595697656856,109581.19139531371,1,0,1,0,0
1019726.120824805,1031416.2791328536,1008035.9625167564,11690.158308048616,23380.316616097232,1,0,1,0,0
893714.6735042135,932499.4444415906,854929.9025668363,38784.77093737712,77569.54187475424,1,0,1,0,0
174182.5291023205,303603.1623245965,44761.895880044525,129420.63322227598,258841.26644455196,1,0,1,0,0
223044.36728926093,276522.3650587926,169566.36951972928,53477.99776953165,106955.9955390633,1,0,1,0,0
196669.09480389964,251778.18271266986,141560.00689512945,55109.087908770205,110218.17581754041,1,0,0,1,0
310170.5507473245,336684.02733217255,283657.07416247635,26513.476584848104,53026.95316969621,1,0,0,1,0
202817.6726775671,243557.5122725982,162077.833082536,40739.839595031095,81479.67919006219,1,0,0,1,0
234739.00748103982,250794.01968419936,218683.99527788028,16055.012203159538,32110.024406319077,1,0,0,1,0
178226.4717331533,192475.9483390454,163976.9951272612,14249.476605892094,28498.953211784188,1,0,0,1,0
231246.94887232693,266955.7698145591,195538.1279300948,35708.82094223214,71417.64188446428,1,0,0,1,0
1033181.3288523525,1061421.8896548564,1004940.7680498486,28240.560802503896,56481.12160500779,1,0,0,0,1
981104.6623269515,1004084.1816487872,958125.1430051159,22979.519321835658,45959.038643671316,1,0,0,0,1
1008048.9046916435,1059414.7346761252,956683.0747071619,51365.82998448168,102731.65996896336,1,0,0,0,1
1068669.805026813,1088113.0748438393,1049226.5352097866,19443.269817026332,38886.539634052664,1,0,0,0,1
992641.1547691935,1042764.372463942,942517.937074445,50123.21769474854,100246.43538949708,1,0,0,0,1
1153106.0366774336,1210332.2680448033,1095879.805310064,57226.23136736965,114452.4627347393,1,0,1,0,0
1048891.902231187,1176193.9872204897,921589.8172418848,127302.08498930244,254604.16997860488,1,0,1,0,0
1114849.3177156579,1172829.30613562,1056869.3292956955,57979.98841996223,115959.97683992446,1,0,1,0,0
106189.94864517251,168251.56589232612,44128.3313980189,62061.61724715361,124123.23449430722,1,0,1,0,0
227595.60439842154,302330.66873859323,152860.54005824987,74735.06434017168,149470.12868034336,1,0,1,0,0
267144.87350014516,351982.0731008759,182307.67389941443,84837.19960073073,169674.39920146146,1,0,0,1,0
223742.80349851356,258062.40511330165,189423.20188372547,34319.60161478809,68639.20322957617,1,0,0,1,0
